,Intercept,Name,Twitter Handle,Miles from AA,First Offer,Last Offer,OfficialVisit,Last Official Visit,Attended Michigan,In-State,screenName,michFavToAllTweetRatio,michTweetToAllTweetRatio,michOverallTweetRatio,michNativeRTweetRatio,michNativeTweetRatio,Logisitc Regression l1 Pred Label,Logisitc Regression l1 No Prob,Logisitc Regression l1 Yes Prob,Logisitc Regression l2 Pred Label,Logisitc Regression l2 No Prob,Logisitc Regression l2 Yes Prob,Random Forest Model Predicted Labels,Random Forest No Prob,Random Forest Yes Prob,XGB Predicted Labels,XGB No Prob,XGB Yes Prob
6,1,Donovan Peoples-Jones,dpeoplesjones,44,0,0,1,0,1,1,dpeoplesjones,5.994618777,5.439661207,0.08116655,0.109010011,0.033396947,1,0.401953144,0.598046856,1,0.288793548,0.711206452,1,0.222,0.778,1,0.49976575,0.50023425
9,1,Isaiah Wilson,_LayZay_,617,0,0,1,0,0,0,_LayZay_,3.361898431,3.770845481,0.038873995,0.08,0.011210762,1,0.45147273,0.54852727,1,0.430963285,0.569036715,0,0.51,0.49,1,0.4985748,0.5014252
12,1,Aubrey Solomon,AubreySolomon91,886,0,0,1,0,1,0,AubreySolomon91,8.504721201,8.890804598,0.038461538,0.076923077,0.012820513,0,0.61788922,0.38211078,0,0.623665067,0.376334933,0,0.746,0.254,0,0.5007532,0.49924678
20,1,Jedrick Wills,JWills73,332,0,0,1,0,0,0,JWills73,44.60252587,33.0500952,0.014442519,0.026685393,0.005888126,0,0.957122375,0.042877625,0,0.97470931,0.02529069,0,0.718,0.282,0,0.5026661,0.49733388
25,1,Jay Tufele,tufele123,1630,0,0,1,0,0,0,tufele123,8.693358488,10.46496708,0.035422343,0.053465347,0.020134228,0,0.747005245,0.252994755,0,0.767150222,0.232849778,0,0.622,0.378,0,0.5007532,0.49924678
28,1,Cesar Ruiz,_OverCees,1203,0,0,1,0,1,0,_OverCees,13.80881633,11.74540849,0.03163017,0.054209919,0.015151515,0,0.757735314,0.242264686,0,0.785185012,0.214814988,0,0.792,0.208,0,0.503423,0.49657702
36,1,Luji Vilain,Luiji_V,527,0,0,1,1,1,0,Luiji_V,32.03560043,32.56418919,0.010558069,0.010548523,0.010582011,0,0.825954177,0.174045823,0,0.862256115,0.137743885,0,0.754,0.246,0,0.50248766,0.49751237
43,1,Willie Gay Jr.,WillieYRN,787,0,0,1,0,0,0,WillieYRN,0.943544428,0.312080537,0.039325843,0.079411765,0.002688172,1,0.419977304,0.580022696,1,0.398908611,0.601091389,0,0.586,0.414,1,0.4993317,0.5006683
47,1,Drew Singleton,_DrewSingleton,609,0,0,1,1,1,0,_DrewSingleton,29.31269688,27.28570154,0.027930175,0.05433526,0.007894737,0,0.784978862,0.215021138,0,0.828056981,0.171943019,0,0.904,0.096,0,0.50248766,0.49751237
55,1,Ambry Thomas,Tavonn_,44,0,0,1,1,1,1,Tavonn_,18.8879989,21.78411592,0.032570423,0.070967742,0.005961252,0,0.510986272,0.489013728,1,0.417995918,0.582004082,0,0.586,0.414,0,0.50248766,0.49751237
