,Name,Twitter Handle,Miles from AA,First Offer,Last Offer,Official Visit,Last Official Visit,Attended Michigan,In-State,screenName,michFavToAllTweetRatio,michTweetToAllTweetRatio,michOverallTweetRatio,michNativeRTweetRatio,michNativeTweetRatio,Logisitc Regression l1 Pred Label,Logisitc Regression l1 No Prob,Logisitc Regression l1 Yes Prob,Logisitc Regression l2 Pred Label,Logisitc Regression l2 No Prob,Logisitc Regression l2 Yes Prob,Random Forest Model Predicted Labels,Random Forest No Prob,Random Forest Yes Prob
0,Cam Akers,thereal_cam3,935,0,0,0,0,0,0,thereal_cam3,0,0,0.001571503,0.002230483,0,0,0.949805846,0.050194154,0,0.964950459,0.035049541,0,1,0
1,Foster Sarell,thebigfozbear,2320,0,0,0,0,0,0,thebigfozbear,0,0,0.00095057,0.002457002,0,0,0.989800417,0.010199583,0,0.989441651,0.010558349,0,0.97,0.03
2,Marvin Wilson,RDMW6,1296,0,0,0,0,0,0,RDMW6,0,0,0.002314815,0.004140787,0,0,0.966640004,0.033359996,0,0.974309042,0.025690958,0,1,0
3,Jeffrey Okudah,jokudah_,1178,0,0,0,0,0,0,jokudah_,8.832232948,6.779148674,0.001322314,0.003430532,0.000819001,0,0.98430198,0.01569802,0,0.988233658,0.011766342,0,1,0
4,Walker Little,walkerlittle45,1296,0,0,0,0,0,0,walkerlittle45,2.506144613,2.564695009,0.025345622,0.025,0.027027027,0,0.975108731,0.024891269,0,0.980799237,0.019200763,0,0.976,0.024
5,Joshua Kaindoh,joshuakaindoh,1203,0,0,0,0,0,0,joshuakaindoh,0,0,0,0,0,0,0.962912955,0.037087045,0,0.972106117,0.027893883,0,1,0
6,Donovan Peoples-Jones,dpeoplesjones,44,0,0,1,0,1,1,dpeoplesjones,5.994618777,5.439661207,0.08116655,0.109010011,0.033396947,1,0.285562472,0.714437528,1,0.2960378,0.7039622,0,0.548,0.452
7,Trey Smith,smithtrey98,647,0,0,0,0,0,0,smithtrey98,0.732595052,0.858223187,0.013198758,0.012687428,0.014251781,0,0.936781177,0.063218823,0,0.959116662,0.040883338,0,0.986,0.014
8,Davis Mills,Millsions,714,0,0,0,0,0,0,Millsions,6.451374813,4.798946557,0.010739364,0.009868421,0.011618257,0,0.965604613,0.034395387,0,0.977558066,0.022441934,0,0.994,0.006
9,Isaiah Wilson,_LayZay_,617,0,0,1,0,0,0,_LayZay_,3.361898431,3.770845481,0.038873995,0.08,0.011210762,1,0.380200703,0.619799297,1,0.472509373,0.527490627,0,0.632,0.368
10,JaCoby Stevens,jacobystevens7,552,0,0,0,0,0,0,jacobystevens7,0,0,0.009765625,0.010819165,0.004132231,0,0.923316213,0.076683787,0,0.951734546,0.048265454,0,0.99,0.01
11,Darnay Holmes,ProwayDarnay,2263,0,0,0,0,0,0,ProwayDarnay,0,0,0,0,0,0,0.989098311,0.010901689,0,0.988887579,0.011112421,0,0.892,0.108
12,Aubrey Solomon,AubreySolomon91,886,0,0,1,0,1,0,AubreySolomon91,8.504721201,8.890804598,0.038461538,0.076923077,0.012820513,0,0.607796668,0.392203332,0,0.669674215,0.330325785,0,0.794,0.206
13,Wyatt Davis,wyattdavis53,2241,0,0,0,0,0,0,wyattdavis53,0,0,0.013562387,0.018759019,0.004842615,0,0.988814717,0.011185283,0,0.988788768,0.011211232,0,0.956,0.044
14,Calvin Ashley,Ca70_,522,0,0,0,0,0,0,Ca70_,0.192546584,0,0.005649718,0.009950249,0.003584229,0,0.921494028,0.078505972,0,0.95104175,0.04895825,0,0.988,0.012
