Name,Twitter Handle,Hometown,Miles from AA,First Offer,Last Offer,Official Visit,Last Official Visit,Attended Michigan,In-State
Jaelan Phillips,JJPhillips15,"REDLANDS, CA",2205,0,0,0,0,0,0
Najee Harris,ohthatsNajee22,"ANTIOCH, CA",2329,1,0,1,1,0,0
Cam Akers,thereal_cam3,"CLINTON, MS",935,0,0,0,0,0,0
Alex Leatherwood,Alskee_,"PENSACOLA, FL",963,0,0,1,0,0,0
Foster Sarell,thebigfozbear,"GRAHAM, WA",2320,0,0,0,0,0,0
Marvin Wilson,RDMW6,"BELLAIRE, TX",1296,0,0,0,0,0,0
Chase Young,youngchase907,"HYATTSVILLE, MD",521,0,0,0,0,0,0
Jeffrey Okudah,TheJeffOkudah,"GRAND PRAIRIE, TX",1178,0,0,0,0,0,0
Walker Little,walkerlittle45,"BELLAIRE, TX",1296,0,0,0,0,0,0
Joshua Kaindoh,_jkaindoh,"BRADENTON, FL",1203,0,0,0,0,0,0
Baron Browning,baronbrwnng,"KENNEDALE, TX",1166,0,0,1,0,0,0
Donovan Peoples-Jones,dpeoplesjones,"DETROIT, MI",44,0,0,1,0,1,1
Dylan Moses,Dylan1Moses_,"BRADENTON, FL",1203,0,0,0,0,0,0
Trey Smith,smithtrey98,"JACKSON, TN",647,0,0,0,0,0,0
Davis Mills,Millsions,"NORCROSS, GA",714,0,0,0,0,0,0
Isaiah Wilson,_LayZay_,"BROOKLYN, NY",617,0,0,1,0,0,0
Shaun Wade,shaunwade2017,"JACKSONVILLE, FL",998,0,0,0,0,0,0
JaCoby Stevens,jacobystevens7,"MURFREESBORO, TN",552,0,0,0,0,0,0
Tee Higgins,teehiggins5,"OAK RIDGE, TN",498,0,0,0,0,0,0
Stephen Carr,yt_deon,"FONTANA, CA",2194,0,0,0,0,0,0
Jerry Jeudy,jerryjeudy,"POMPANO BEACH, FL",1335,0,1,0,0,0,0
Darnay Holmes,ProwayDarnay,"CALABASAS, CA",2263,0,0,0,0,0,0
Aubrey Solomon,AubreySolomon91,"LEESBURG, GA",886,0,0,1,0,1,0
